id,name,brand,ebayPrice,price,condition,image,description,grade,colors,storage,screen,processor,camera,battery,featured
101,iPhone 11,Apple,160,1099,used,/products/iphone11.jpg,El clásico que sigue rindiendo. Chip A13 Bionic.,Grado A+ Impecable,"Black, White, Green, Purple, Yellow, Product Red","64GB, 128GB",6.1" Liquid Retina,A13 Bionic,12MP Ultra Wide,3110 mAh,FALSE
102,iPhone 12,Apple,190,1599,used,/products/iphone12.jpg,Entrada al 5G y diseño plano. Pantalla OLED.,Grado A+ Impecable,"Black, White, Blue, Green, Purple, Product Red","64GB, 128GB, 256GB",6.1" Super Retina XDR,A14 Bionic,12MP Dual,2815 mAh,FALSE
103,iPhone 13,Apple,230,2099,used,/products/iphone13.jpg,El equilibrio perfecto. Modo Cine y gran batería.,Grado A+ Impecable,"Midnight, Starlight, Blue, Pink, Green","128GB, 256GB, 512GB",6.1" Super Retina XDR,A15 Bionic,12MP Dual,3240 mAh,TRUE
104,iPhone 14 Pro Max,Apple,520,3899,used,/products/iphone14promax.jpg,Dynamic Island y 48MP. Potencia sin límites.,Grado A+ Impecable,"Space Black, Silver, Gold, Deep Purple","128GB, 256GB, 512GB, 1TB",6.7" Always-On Retina,A16 Bionic,48MP Principal,4323 mAh,TRUE
105,iPhone 15,Apple,460,3599,new,/products/iphone15.jpg,USB-C y Dynamic Island para todos.,Nuevo Sellado,"Black, Blue, Green, Yellow, Pink","128GB, 256GB, 512GB",6.1" Super Retina XDR,A16 Bionic,48MP,3349 mAh,TRUE
106,iPhone 15 Pro Max,Apple,750,5799,new,/products/iphone15promax.jpg,Titanio aeroespacial. El iPhone mas ligero Pro.,Nuevo Sellado,"Natural Titanium, Blue Titanium, White Titanium, Black Titanium","256GB, 512GB, 1TB",6.7" Super Retina XDR,A17 Pro,48MP Teleobjetivo 5x,4441 mAh,TRUE
201,Google Pixel 6,Google,140,1099,used,/products/pixel6.jpg,El reinicio de Pixel. Chip Tensor original.,Grado A+ Impecable,"Stormy Black, Sorta Seafoam, Kinda Coral","128GB, 256GB",6.4" OLED 90Hz,Google Tensor,50MP Dual,4614 mAh,FALSE
202,Google Pixel 6 Pro,Google,165,1399,used,/products/pixel6pro.jpg,Experiencia premium de Google a bajo costo.,Grado A+ Impecable,"Stormy Black, Cloudy White, Sorta Sunny","128GB, 256GB, 512GB",6.7" LTPO OLED 120Hz,Google Tensor,50MP Triple,5003 mAh,FALSE
203,Google Pixel 7,Google,180,1899,used,/products/pixel7.jpg,Refinamiento total. Más compacto y brillante.,Grado A+ Impecable,"Obsidian, Snow, Lemongrass","128GB, 256GB",6.3" OLED 90Hz,Tensor G2,50MP Dual,4355 mAh,TRUE
204,Google Pixel 7 Pro,Google,220,2499,used,/products/pixel7pro.jpg,Zoom Super Res y Macro Focus. Fotografía top.,Grado A+ Impecable,"Obsidian, Snow, Hazel","128GB, 256GB, 512GB",6.7" LTPO OLED 120Hz,Tensor G2,50MP Triple,5000 mAh,TRUE
205,Google Pixel 8,Google,320,2799,used,/products/pixel8.jpg,7 años de actualizaciones. El futuro hoy.,Como Nuevo (Open Box),"Obsidian, Hazel, Rose, Mint","128GB, 256GB",6.2" Actua OLED 120Hz,Tensor G3,50MP Dual,4575 mAh,TRUE
206,Google Pixel 8 Pro,Google,420,3699,used,/products/pixel8pro.jpg,IA Generativa en tu mano. Magic Editor.,Como Nuevo (Open Box),"Obsidian, Porcelain, Bay, Mint","128GB, 256GB, 512GB",6.7" Super Actua LTPO,Tensor G3,50MP Triple,5050 mAh,TRUE
